day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,Average,Max,Min,Up_or_Down
96.41,97.33,97.3,99.61,101.57,98.28,96.6,93.79,90.02,88.23,95.914,101.57,88.23,1
94.09,92.59,93.64,92.68,92.24,93.16,92.6,94.05,92.25,90.34,92.764,94.09,90.34,0
89.31,89.68,90.1,88.97,89.16,89.29,90.37,89.45,89.89,89.92,89.614,90.37,88.97,0
109.59,110.73,112.67,113.82,113.07,113.58,112.59,113.47,115.21,113.93,112.86600000000001,115.21,109.59,1
120.35,127.25,127.52,129.92,129.12,132.5,138.12,143.46,143.41,139.61,133.12600000000003,143.46,120.35,1
147.3,145.22,147.22,147.56,146.13,145.35,148.87,149.88,150.03,149.21,147.67700000000002,150.03,145.22,1
147.49,147.91,146.2,143.34,145.26,149.04,148.09,148.31,145.63,145.08,146.635,149.04,143.34,1
146.88,147.14,148.99,154.29,155.26,150.93,150.74,149.54,151.33,153.38,150.848,155.26,146.88,1
152.43,154.23,157.64,158.74,154.92,154.77,155.79,155.91,154.74,152.48,155.16500000000002,158.74,152.43,0
188.87,194.82,194.47,197.74,195.67,198.33,200.97,199.36,203.92,207.46,198.161,207.46,188.87,1
206.27,208.07,202.17,201.51,201.36,204.56,203.84,205.53,207.97,208.7,204.998,208.7,201.36,1
232.68,221.62,217.41,198.98,212.95,220.69,215.69,216.32,215.94,212.61,216.48900000000003,232.68,198.98,1
183.27,183.85,178.72,180.63,172.2,171.02,170.55,182.55,183.69,182.61,178.90900000000002,183.85,170.55,0
169.47,170.31,182.22,184.15,187.9,196.75,193.49,194.27,194.12,201.42,187.41,201.42,169.47,1
203.71,200.33,202.65,201.37,204.48,206.73,217.73,219.43,212.78,212.19,208.14000000000001,219.43,200.33,0
190.78,189.96,185.28,185.22,190.6,189.01,186.52,194.27,192.53,195.92,190.009,195.92,185.22,0
194.62,193.35,192.86,200.31,199.23,201.67,201.36,200.41,202.3,208.12,199.423,208.12,192.86,1
192.58,187.05,182.93,186.99,186.23,188.27,189.79,187.77,186.4,183.56,187.15699999999998,192.58,182.93,1
187.95,188.44,186.02,186.17,185.93,189.76,188.77,189.66,188.56,188.59,187.98499999999999,189.76,185.93,1
201.27,207.07,205.14,209.46,213.7,212.53,212.45,212.92,212.85,210.09,209.748,213.7,201.27,0
235.77,242.39,241.64,236.71,237.4,237.31,232.88,234.08,235.02,237.58,237.07799999999997,242.39,232.88,0
243.44,240.42,241.15,241.06,239.99,238.6,240.16,239.25,230.54,233.44,238.805,243.44,230.54,0
230.42,229.38,232.92,240.73,242.69,240.89,241.84,243.82,248.93,251.56,240.31799999999993,251.56,229.38,0
228.69,232.1,229.87,234.09,235.17,237.04,237.04,234.43,231.6,223.55,232.35800000000003,237.04,223.55,1
226.97,226.51,225.63,226.53,220.69,223.16,222.26,219.6,222.78,221.81,223.594,226.97,219.6,1
234.94,240.34,238.65,237.87,238.1,239.69,238.61,234.81,233.62,232.02,236.86499999999995,240.34,232.02,1
229.87,232.5,230.03,228.14,235.42,234.6,234.28,234.42,237.04,236.1,233.24,237.04,228.14,1
261.51,262.73,264.14,262.16,261.52,260.37,264.2,266.17,269.8,268.69,264.129,269.8,260.37,1
275.46,276.46,273.72,273.27,259.09,255.3,256.04,253.93,253.05,254.99,263.131,276.46,253.05,1
255.67,252.25,255.48,254.75,256.66,261.59,262.91,260.78,258.71,256.28,257.508,262.91,252.25,1
266.64,272.4,275.38,279.0,282.95,283.44,283.02,282.69,282.58,290.19,279.829,290.19,266.64,1
346.09,352.18,350.29,354.3,361.47,369.51,365.1,345.62,330.75,314.85,349.01599999999996,369.51,314.85,1
323.06,329.03,337.09,331.76,335.53,344.84,347.2,345.21,339.49,340.8,337.401,347.2,323.06,1
327.27,323.41,314.66,325.38,322.16,317.93,325.69,317.63,306.82,299.27,318.02200000000005,327.27,299.27,0
276.95,274.23,273.11,281.1,256.99,246.79,252.45,249.92,251.53,257.38,262.045,281.1,246.79,1
219.1,219.27,220.68,218.14,209.15,218.76,215.19,215.97,229.42,224.55,219.023,229.42,209.15,1
231.98,226.71,234.67,237.52,233.03,231.23,233.66,227.87,224.99,222.59,230.425,237.52,222.59,1
287.07,289.42,288.95,287.68,288.22,273.97,273.7,271.29,279.4,283.06,282.276,289.42,271.29,1
292.06,282.44,277.89,276.05,271.58,275.44,284.69,285.34,283.67,280.14,280.93,292.06,271.58,0
239.76,233.52,237.66,243.7,236.92,245.07,237.67,240.65,240.45,235.99,239.13900000000004,245.07,233.52,0
246.58,249.48,250.37,249.08,251.8,254.12,248.22,244.33,241.59,242.36,247.79300000000003,254.12,241.59,1
214.27,213.83,216.74,218.98,214.72,189.79,199.51,205.09,194.52,192.73,206.01799999999997,218.98,189.79,0
189.8,180.68,168.95,175.85,185.57,188.95,180.7,177.17,175.5,169.01,179.21800000000002,189.8,168.95,0
128.24,140.5,145.5,145.93,132.5,137.04,139.19,136.66,141.46,150.49,139.75100000000003,150.49,128.24,1
162.03,157.03,154.56,154.51,148.0,148.45,150.91,149.62,148.15,150.99,152.425,162.03,148.0,1
168.63,169.65,169.59,170.86,176.2,184.95,188.68,178.59,178.35,180.85,176.635,188.68,168.63,0
