day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,Average,Max,Min,Value
0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06500000000000002,0.07,0.06,0.07
0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06600000000000002,0.07,0.06,0.06
0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.07599999999999998,0.08,0.07,0.08
0.09,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10600000000000001,0.11,0.09,0.11
0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.10700000000000001,0.11,0.1,0.11
0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15699999999999997,0.16,0.15,0.15
0.17,0.16,0.15,0.15,0.16,0.17,0.17,0.17,0.17,0.17,0.16399999999999998,0.17,0.15,0.17
0.22,0.2,0.21,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.213,0.22,0.2,0.21
0.22,0.22,0.22,0.22,0.24,0.23,0.23,0.23,0.24,0.26,0.23099999999999996,0.26,0.22,0.25
0.25,0.24,0.25,0.24,0.23,0.22,0.22,0.22,0.22,0.23,0.23199999999999998,0.25,0.22,0.23
0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.21,0.21,0.221,0.23,0.2,0.22
0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.22999999999999998,0.24,0.22,0.24
0.27,0.27,0.25,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.258,0.27,0.25,0.27
0.32,0.33,0.32,0.31,0.29,0.2,0.21,0.25,0.24,0.22,0.269,0.33,0.2,0.18
0.22,0.21,0.22,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.217,0.23,0.21,0.21
0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.24,0.23399999999999999,0.24,0.23,0.25
0.27,0.25,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.24,0.255,0.27,0.24,0.25
0.26,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.27,0.27,0.265,0.27,0.26,0.27
0.28,0.28,0.28,0.29,0.29,0.26,0.26,0.27,0.26,0.25,0.27199999999999996,0.29,0.25,0.25
0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.26,0.25,0.26,0.251,0.26,0.24,0.26
0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.252,0.26,0.25,0.26
0.29,0.29,0.3,0.3,0.31,0.31,0.31,0.31,0.3,0.29,0.301,0.31,0.29,0.3
